Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,9. Outs,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
Virginia Tech vs Duke (93),1095936,22466,R12,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,UM4,Catcher Throw SB,Ball in Play,,2--1,SS3,Ground Out,,0 Out,4. Inning,Virginia Tech,Duke,199;248,288;182,Virginia Tech vs Duke
Virginia Tech vs Duke (94),1118402,5600,R23,04-22-2018,25 Carrie Eberle,R-Hand,19 Amelia Wiercioch,L-Hand,1B,UR3,,Ball,1--0,0--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,351;175,Virginia Tech vs Duke
Virginia Tech vs Duke (95),1124002,10666,R23,04-22-2018,25 Carrie Eberle,R-Hand,19 Amelia Wiercioch,L-Hand,1B,UPM2,,Ball,2--0,1--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,98;1,Virginia Tech vs Duke
Virginia Tech vs Duke (96),1134668,7666,R23,04-22-2018,25 Carrie Eberle,R-Hand,19 Amelia Wiercioch,L-Hand,1B,UR1,,Ball,3--0,2--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,327;154,Virginia Tech vs Duke
Virginia Tech vs Duke (97),1142334,10033,R23,04-22-2018,25 Carrie Eberle,R-Hand,19 Amelia Wiercioch,L-Hand,1B,UR3,,Ball,Walk,3--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,331;174,Virginia Tech vs Duke
Virginia Tech vs Duke (98),1152367,14000,R123,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Fast Ball,UR4,,Ball,1--0,0--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,376;159,Virginia Tech vs Duke
Virginia Tech vs Duke (99),1166367,19833,R123,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Drop Ball,UM3,,Ball in Play,,1--0,SS3,Single,1 RBI,1 Out,4. Inning,Virginia Tech,Duke,180;221,236;203,Virginia Tech vs Duke
Virginia Tech vs Duke (100),1186200,12333,R123,04-22-2018,25 Carrie Eberle,R-Hand,11 Dominique Salinas,L-Hand,Drop Ball,LR1,,Ball,1--0,0--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,329;335,Virginia Tech vs Duke
Virginia Tech vs Duke (101),1198533,13033,R123,04-22-2018,25 Carrie Eberle,R-Hand,11 Dominique Salinas,L-Hand,Drop Ball,MM2,,Strike Swinging,1--1,1--0,,,,1 Out,4. Inning,Virginia Tech,Duke,,292;258,Virginia Tech vs Duke
Virginia Tech vs Duke (102),1211566,9000,R123,04-22-2018,25 Carrie Eberle,R-Hand,11 Dominique Salinas,L-Hand,Drop Ball,LM1,,Ball,2--1,1--1,,,,1 Out,4. Inning,Virginia Tech,Duke,,248;322,Virginia Tech vs Duke
Virginia Tech vs Duke (103),1220566,19399,R123,04-22-2018,25 Carrie Eberle,R-Hand,11 Dominique Salinas,L-Hand,Drop Ball,,,Ball in Play,,2--1,1B2,Fielders Choice,,1 Out,4. Inning,Virginia Tech,Duke,296;281,,Virginia Tech vs Duke
Virginia Tech vs ,1239965,6666,R123,04-22-2018,25 Carrie Eberle,R-Hand,12 Hannah Pridemore,R-Hand,Drop Ball,,,Strike Called,0--1,0--0,,,,2 Out,4. Inning,Virginia Tech,Duke,,,Virginia Tech vs
Virginia Tech vs Duke (104),1246631,16433,R123,04-22-2018,25 Carrie Eberle,R-Hand,12 Hannah Pridemore,R-Hand,Drop Ball,ML2,,Strike Called,0--2,0--1,,,,2 Out,4. Inning,Virginia Tech,Duke,,174;217,Virginia Tech vs Duke
Virginia Tech vs Duke (105),1263064,11166,R123,04-22-2018,25 Carrie Eberle,R-Hand,12 Hannah Pridemore,R-Hand,Drop Ball,MR4,,Strike Swinging,Strikeout,0--2,,,,2 Out,4. Inning,Virginia Tech,Duke,,361;293,Virginia Tech vs Duke
Virginia Tech vs  (1),1274231,14700,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,UPM5,,,,,,,,0 Out,4. Inning,Duke,Virginia Tech,,464;19,Virginia Tech vs
Virginia Tech vs  (2),1288930,11533,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,UPM5,,Strike Called,0--1,0--0,,,,0 Out,4. Inning,Duke,Virginia Tech,,450;2,Virginia Tech vs
Virginia Tech vs  (3),1300463,13366,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,MR1,,Foul,0--2,0--1,,,,0 Out,4. Inning,Duke,Virginia Tech,,341;262,Virginia Tech vs
Virginia Tech vs  (4),1313830,13500,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,LL1,,Ball,1--2,0--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,110;359,Virginia Tech vs
Virginia Tech vs  (5),1327329,15233,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,LM3,,Ball,2--2,1--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,238;368,Virginia Tech vs
Virginia Tech vs  (6),1342562,14833,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,MR3,,Foul,2--2,2--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,345;272,Virginia Tech vs
Virginia Tech vs  (7),1357395,17100,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,LM1,,Ball,3--2,2--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,238;341,Virginia Tech vs
Virginia Tech vs  (8),1374494,14500,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,MR1,,Foul,3--2,3--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,342;250,Virginia Tech vs
Virginia Tech vs  (9),1388994,15566,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,MR2,,Foul,3--2,3--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,375;224,Virginia Tech vs
Virginia Tech vs  (10),1404560,11100,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,ML2,,Strike Called,Strikeout,3--2,,,,0 Out,4. Inning,Duke,Virginia Tech,,161;245,Virginia Tech vs
Virginia Tech vs  (11),1415660,9500,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,20 Sierra Walton,R-Hand,,MR2,,Ball,1--0,0--0,,,,1 Out,4. Inning,Duke,Virginia Tech,,371;258,Virginia Tech vs
Virginia Tech vs  (12),1425160,15433,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,20 Sierra Walton,R-Hand,,MM2,,Ball in Play,,1--0,PF,Line Out,,1 Out,4. Inning,Duke,Virginia Tech,252;279,278;246,Virginia Tech vs
Virginia Tech vs  (13),1440593,17966,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,13 Caitlyn Nolan,R-Hand,,MR4,,Ball,1--0,0--0,,,,2 Out,4. Inning,Duke,Virginia Tech,,363;284,Virginia Tech vs
Virginia Tech vs  (14),1458559,14866,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,13 Caitlyn Nolan,R-Hand,,MM2,,Ball in Play,,1--0,SS3,Ground Out,,2 Out,4. Inning,Duke,Virginia Tech,214;231,297;230,Virginia Tech vs
Virginia Tech vs Duke (106),1473425,8066,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,ML3,,Ball,1--0,0--0,,,,0 Out,5. Inning,Virginia Tech,Duke,,142;288,Virginia Tech vs Duke
Virginia Tech vs Duke (107),1481491,12433,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,MM2,,Foul,1--1,1--0,,,,0 Out,5. Inning,Virginia Tech,Duke,,253;258,Virginia Tech vs Duke
Virginia Tech vs Duke (108),1493924,21066,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,MR1,,Ball in Play,,1--1,SS3,ROE,,0 Out,5. Inning,Virginia Tech,Duke,195;214,340;215,Virginia Tech vs Duke
Virginia Tech vs Duke (109),1514991,18766,R1,04-22-2018,25 Carrie Eberle,R-Hand,34 Rachel Abboud,L-Hand,Drop Ball,MM2,,Ball in Play,,0--0,PF,Sacrifice Bunt,,0 Out,5. Inning,Virginia Tech,Duke,275;288,252;241,Virginia Tech vs Duke
Virginia Tech vs Duke (110),1533757,20199,R2,04-22-2018,25 Carrie Eberle,R-Hand,3 Haley Wymbs,L-Hand,Drop Ball,MM2,,Ball in Play,,0--0,PF,Ground Out,,1 Out,5. Inning,Virginia Tech,Duke,280;298,268;250,Virginia Tech vs Duke
Virginia Tech vs Duke (111),1553956,16433,R3,04-22-2018,25 Carrie Eberle,R-Hand,14 Raine Wilson,R-Hand,Drop Ball,MM2,,Ball in Play,,0--0,SS3,Single,1 RBI,2 Out,5. Inning,Virginia Tech,Duke,194;215,251;205,Virginia Tech vs Duke
Virginia Tech vs Duke (112),1570389,6366,R1,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Change Up,MM2,,Foul,0--1,0--0,,,,2 Out,5. Inning,Virginia Tech,Duke,,251;234,Virginia Tech vs Duke
Virginia Tech vs Duke (113),1576755,8266,R1,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,ML2,,Strike Called,0--2,0--1,,,,2 Out,5. Inning,Virginia Tech,Duke,,172;234,Virginia Tech vs Duke
Virginia Tech vs Duke (114),1585022,12100,R1,04-22-2018,25 Carrie Eberle,R-Hand,2 Jameson Kavel,R-Hand,Drop Ball,MR2,,Ball in Play,,0--2,1B2,Ground Out,,2 Out,5. Inning,Virginia Tech,Duke,289;294,366;258,Virginia Tech vs Duke
Virginia Tech vs Duke (115),1597122,13000,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,22 Breanna Davenport,L-Hand,,LL2,,Ball in Play,,0--0,2B3,Fly Out,,0 Out,5. Inning,Duke,Virginia Tech,294;224,190;322,Virginia Tech vs Duke
Virginia Tech vs Duke (116),1610121,16033,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,27 Jessie Mehr,R-Hand,,MR1,,Ball in Play,,0--0,SS3,Ground Out,,1 Out,5. Inning,Duke,Virginia Tech,243;244,314;223,Virginia Tech vs Duke
Virginia Tech vs Duke (117),1626154,16766,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,6 Taylor Clark,R-Hand,,DOWNM2,,Ball,1--0,0--0,,,,2 Out,5. Inning,Duke,Virginia Tech,,112;454,Virginia Tech vs Duke
Virginia Tech vs Duke (118),1642920,12733,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,6 Taylor Clark,R-Hand,,LM1,,Foul,1--1,1--0,,,,2 Out,5. Inning,Duke,Virginia Tech,,233;327,Virginia Tech vs Duke
Virginia Tech vs Duke (119),1655653,17766,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,6 Taylor Clark,R-Hand,,MM2,,Ball in Play,,1--1,SS3,Fly Out,,2 Out,5. Inning,Duke,Virginia Tech,236;248,255;238,Virginia Tech vs Duke
Virginia Tech vs Duke (120),1673419,14166,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,19 Amelia Wiercioch,L-Hand,Drop Ball,MM2,,Ball in Play,,0--0,MCF2,Single,,0 Out,6. Inning,Virginia Tech,Duke,295;121,267;257,Virginia Tech vs Duke
Virginia Tech vs Duke (121),1687586,9733,R1,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Drop Ball,UM1,,Foul,0--1,0--0,,,,0 Out,6. Inning,Virginia Tech,Duke,,238;135,Virginia Tech vs Duke
Virginia Tech vs Duke (122),1697319,9033,R1,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Drop Ball,UR3,,Strike Called,0--2,0--1,,,,0 Out,6. Inning,Virginia Tech,Duke,,324;200,Virginia Tech vs Duke
Virginia Tech vs Duke (123),1706352,9033,R1,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Drop Ball,ML4,,Foul,0--2,0--2,,,,0 Out,6. Inning,Virginia Tech,Duke,,164;278,Virginia Tech vs Duke
Virginia Tech vs Duke (124),1715385,15066,R1,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Drop Ball,MM1,,Foul,0--2,0--2,,,,0 Out,6. Inning,Virginia Tech,Duke,,220;249,Virginia Tech vs Duke
Virginia Tech vs Duke (125),1730451,16666,R1,04-22-2018,25 Carrie Eberle,R-Hand,4 Reilly Metzger,L-Hand,Change Up,MM2,,Ball in Play,,0--2,SRCF,Single,,0 Out,6. Inning,Virginia Tech,Duke,332;189,292;221,Virginia Tech vs Duke
Virginia Tech vs Duke (127),1747117,12600,R12,04-22-2018,25 Carrie Eberle,R-Hand,21 Emilie Cieslak,R-Hand,Drop Ball,LM2,,Foul,0--1,0--0,,,,0 Out,6. Inning,Virginia Tech,Duke,,257;315,Virginia Tech vs Duke
Virginia Tech vs Duke (128),1759717,7833,R12,04-22-2018,25 Carrie Eberle,R-Hand,21 Emilie Cieslak,R-Hand,Drop Ball,MM4,,Foul,0--2,0--1,,,,0 Out,6. Inning,Virginia Tech,Duke,,268;274,Virginia Tech vs Duke
Virginia Tech vs Duke (129),1767550,10200,R12,04-22-2018,25 Carrie Eberle,R-Hand,21 Emilie Cieslak,R-Hand,Drop Ball,RIGHTM3,,Ball,1--2,0--2,,,,0 Out,6. Inning,Virginia Tech,Duke,,446;322,Virginia Tech vs Duke
Virginia Tech vs Duke (130),1777750,23933,R12,04-22-2018,25 Carrie Eberle,R-Hand,21 Emilie Cieslak,R-Hand,Drop Ball,MM2,,Ball in Play,,1--2,PF,ROE,,0 Out,6. Inning,Virginia Tech,Duke,275;281,270;220,Virginia Tech vs Duke
Virginia Tech vs  (15),1801682,21699,R13,04-22-2018,25 Carrie Eberle,R-Hand,,,Drop Ball,ML4,Catcher Throw SB,Ball,1--0,0--0,,,,0 Out,6. Inning,Virginia Tech,,,158;310,Virginia Tech vs
Virginia Tech vs Duke (131),1823382,13866,R23,04-22-2018,25 Carrie Eberle,R-Hand,30 Jazmine Moreno,R-Hand,Drop Ball,LEFTM3,,Ball,2--0,1--0,,,,0 Out,6. Inning,Virginia Tech,Duke,,73;345,Virginia Tech vs Duke
Virginia Tech vs Duke (132),1837248,10500,R23,04-22-2018,25 Carrie Eberle,R-Hand,30 Jazmine Moreno,R-Hand,Fast Ball,UPM3,,Foul,2--1,2--0,,,,0 Out,6. Inning,Virginia Tech,Duke,,239;1,Virginia Tech vs Duke
Virginia Tech vs Duke (133),1847748,8566,R23,04-22-2018,25 Carrie Eberle,R-Hand,30 Jazmine Moreno,R-Hand,Drop Ball,ML4,,Foul,2--2,2--1,,,,0 Out,6. Inning,Virginia Tech,Duke,,170;301,Virginia Tech vs Duke
Virginia Tech vs Duke (134),1856314,18466,R23,04-22-2018,25 Carrie Eberle,R-Hand,30 Jazmine Moreno,R-Hand,Drop Ball,ML4,,Ball in Play,,2--2,SCF2,ROE,2 RBI,0 Out,6. Inning,Virginia Tech,Duke,288;183,197;278,Virginia Tech vs Duke
Virginia Tech vs Duke (135),1874780,10733,R1,04-22-2018,25 Carrie Eberle,R-Hand,12 Hannah Pridemore,R-Hand,Drop Ball,MR4,,Foul,0--1,0--0,,,,0 Out,6. Inning,Virginia Tech,Duke,,376;302,Virginia Tech vs Duke
Virginia Tech vs Duke (136),1885513,22366,R1,04-22-2018,25 Carrie Eberle,R-Hand,12 Hannah Pridemore,R-Hand,Drop Ball,MM2,,Ball in Play,,0--1,SCF2,Double Play,,0 Out,6. Inning,Virginia Tech,Duke,304;148,271;234,Virginia Tech vs Duke
Virginia Tech vs Duke (137),1907879,13066,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,MR1,,Ball,1--0,0--0,,,,2 Out,6. Inning,Virginia Tech,Duke,,326;226,Virginia Tech vs Duke
Virginia Tech vs Duke (138),1920946,15266,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,MM1,,Strike Called,1--1,1--0,,,,2 Out,6. Inning,Virginia Tech,Duke,,204;253,Virginia Tech vs Duke
Virginia Tech vs Duke (139),1936212,8800,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,LL1,,Ball,2--1,1--1,,,,2 Out,6. Inning,Virginia Tech,Duke,,133;335,Virginia Tech vs Duke
Virginia Tech vs Duke (140),1945012,17500,Bases Empty,04-22-2018,25 Carrie Eberle,R-Hand,13 Ashleigh Rodriguez,R-Hand,Drop Ball,MM2,,Ball in Play,,2--1,SS3,Ground Out,,2 Out,6. Inning,Virginia Tech,Duke,215;214,271;261,Virginia Tech vs Duke
Virginia Tech vs Duke (141),1962511,20099,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,MM2,,Strike Swinging,0--1,0--0,,,,0 Out,6. Inning,Duke,Virginia Tech,,259;254,Virginia Tech vs Duke
Virginia Tech vs Duke (142),1982611,14600,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,MM2,,Ball,1--1,0--1,,,,0 Out,6. Inning,Duke,Virginia Tech,,254;262,Virginia Tech vs Duke
Virginia Tech vs Duke (143),1997210,10800,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,UM2,,Ball,2--1,1--1,,,,0 Out,6. Inning,Duke,Virginia Tech,,264;156,Virginia Tech vs Duke
Virginia Tech vs Duke (144),2008010,13000,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,2 Caroline Schoenewald,R-Hand,,MM3,,Ball in Play,,2--1,SRCF,Line Out,,0 Out,6. Inning,Duke,Virginia Tech,375;149,226;267,Virginia Tech vs Duke
Virginia Tech vs Duke (145),2021010,13700,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,10 Olivia Lattin,R-Hand,,MR3,,Ball,1--0,0--0,,,,1 Out,6. Inning,Duke,Virginia Tech,,353;279,Virginia Tech vs Duke
Virginia Tech vs Duke (146),2034709,12500,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,10 Olivia Lattin,R-Hand,,MM1,,Strike Called,1--1,1--0,,,,1 Out,6. Inning,Duke,Virginia Tech,,216;238,Virginia Tech vs Duke
Virginia Tech vs Duke (147),2047209,11000,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,10 Olivia Lattin,R-Hand,,MR2,,Ball,2--1,1--1,,,,1 Out,6. Inning,Duke,Virginia Tech,,378;243,Virginia Tech vs Duke
Virginia Tech vs Duke (148),2058209,18599,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,10 Olivia Lattin,R-Hand,,MR1,,Ball in Play,,2--1,3B2,Ground Out,,1 Out,6. Inning,Duke,Virginia Tech,190;271,356;233,Virginia Tech vs Duke
Virginia Tech vs Duke (149),2076808,46999,Bases Empty,04-22-2018,7 Katherine Huey,R-Hand,14 Emma Strouth,R-Hand,,MR2,,Ball in Play,,0--0,DLF,Double,,2 Out,6. Inning,Duke,Virginia Tech,120;100,382;222,Virginia Tech vs Duke
Virginia Tech vs Duke (150),2123807,8466,R2,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,MM1,,Strike Called,0--1,0--0,,,,2 Out,6. Inning,Duke,Virginia Tech,,215;211,Virginia Tech vs Duke
Virginia Tech vs Duke (151),2132273,11933,R2,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,ML2,Catcher Throw SB,Ball,1--1,0--1,,,,2 Out,6. Inning,Duke,Virginia Tech,,172;253,Virginia Tech vs Duke
Virginia Tech vs Duke (152),2144206,9200,R3,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,ML2,,Strike Called,1--2,1--1,,,,2 Out,6. Inning,Duke,Virginia Tech,,197;217,Virginia Tech vs Duke
Virginia Tech vs Duke (153),2153406,12666,R3,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,ML1,,Foul,1--2,1--2,,,,2 Out,6. Inning,Duke,Virginia Tech,,144;229,Virginia Tech vs Duke
Virginia Tech vs Duke (154),2166072,20666,R3,04-22-2018,7 Katherine Huey,R-Hand,25 Carrie Eberle,R-Hand,,MM1,,Ball in Play,,1--2,DCF2,Fly Out,,2 Out,6. Inning,Duke,Virginia Tech,304;81,241;225,Virginia Tech vs Duke
Virginia Tech vs Duke (155),2186738,22033,Bases Empty,04-22-2018,7 Jordan Dail,L-Hand,34 Rachel Abboud,L-Hand,Change Up,UL4,,Ball in Play,,0--0,PF,Ground Out,,0 Out,7. Inning,Virginia Tech,Duke,278;285,158;201,Virginia Tech vs Duke
Virginia Tech vs Duke (156),2208771,11966,Bases Empty,04-22-2018,7 Jordan Dail,L-Hand,3 Haley Wymbs,L-Hand,Rise Ball,UR1,,Ball,1--0,0--0,,,,1 Out,7. Inning,Virginia Tech,Duke,,320;133,Virginia Tech vs Duke
Virginia Tech vs Duke (157),2220737,11133,Bases Empty,04-22-2018,7 Jordan Dail,L-Hand,3 Haley Wymbs,L-Hand,Curve Ball,ML1,,Foul,1--1,1--0,,,,1 Out,7. Inning,Virginia Tech,Duke,,128;239,Virginia Tech vs Duke
Virginia Tech vs Duke (158),2231870,18599,Bases Empty,04-22-2018,7 Jordan Dail,L-Hand,3 Haley Wymbs,L-Hand,Change Up,MM1,,Ball in Play,,1--1,DCF2,Fly Out,,1 Out,7. Inning,Virginia Tech,Duke,256;107,246;234,Virginia Tech vs Duke
Virginia Tech vs Duke (159),2250470,18999,Bases Empty,04-22-2018,7 Jordan Dail,L-Hand,14 Raine Wilson,R-Hand,Rise Ball,ML1,,Ball in Play,,0--0,2B3,Ground Out,,2 Out,7. Inning,Virginia Tech,Duke,298;237,156;252,Virginia Tech vs Duke
Virginia Tech vs Duke (160),2269469,14900,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,DOWNM1,,Ball,1--0,0--0,,,,0 Out,7. Inning,Duke,Virginia Tech,,73;439,Virginia Tech vs Duke
Virginia Tech vs Duke (161),2284369,9033,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,DOWNM1,,Ball,2--0,1--0,,,,0 Out,7. Inning,Duke,Virginia Tech,,59;442,Virginia Tech vs Duke
Virginia Tech vs Duke (162),2293402,16633,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,DOWNM1,,Ball,3--0,2--0,,,,0 Out,7. Inning,Duke,Virginia Tech,,61;436,Virginia Tech vs Duke
Virginia Tech vs Duke (163),2310035,8166,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,ML3,,Strike Called,3--1,3--0,,,,0 Out,7. Inning,Duke,Virginia Tech,,137;310,Virginia Tech vs Duke
Virginia Tech vs Duke (164),2318201,19233,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,20 Sierra Walton,R-Hand,,MM4,,Ball in Play,,3--1,SS3,Line Out,,0 Out,7. Inning,Duke,Virginia Tech,205;233,251;271,Virginia Tech vs Duke
Virginia Tech vs Duke (165),2337434,18766,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,13 Caitlyn Nolan,R-Hand,,LR1,,Ball in Play,,0--0,2B3,Ground Out,,1 Out,7. Inning,Duke,Virginia Tech,296;225,307;325,Virginia Tech vs Duke
Virginia Tech vs Duke (166),2356200,14000,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,22 Breanna Davenport,L-Hand,,DOWNM3,,Ball,1--0,0--0,,,,2 Out,7. Inning,Duke,Virginia Tech,,291;446,Virginia Tech vs Duke
Virginia Tech vs Duke (167),2370200,13166,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,22 Breanna Davenport,L-Hand,,ML1,,Strike Called,1--1,1--0,,,,2 Out,7. Inning,Duke,Virginia Tech,,139;216,Virginia Tech vs Duke
Virginia Tech vs Duke (168),2383366,13200,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,22 Breanna Davenport,L-Hand,,LEFTM1,,Ball,2--1,1--1,,,,2 Out,7. Inning,Duke,Virginia Tech,,68;188,Virginia Tech vs Duke
Virginia Tech vs Duke (169),2396566,12900,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,22 Breanna Davenport,L-Hand,,UPM4,,Ball,3--1,2--1,,,,2 Out,7. Inning,Duke,Virginia Tech,,319;61,Virginia Tech vs Duke
Virginia Tech vs Duke (170),2409465,12000,Bases Empty,04-22-2018,10 Peyton St. George,R-Hand,22 Breanna Davenport,L-Hand,,DOWNM3,,Ball,Walk,3--1,,,,2 Out,7. Inning,Duke,Virginia Tech,,295;479,Virginia Tech vs Duke
Virginia Tech vs Duke (171),2421465,13066,R1,04-22-2018,10 Peyton St. George,R-Hand,12 Hannah Jones,L-Hand,,MM1,,Strike Swinging,0--1,0--0,,,,2 Out,7. Inning,Duke,Virginia Tech,,222;218,Virginia Tech vs Duke
Virginia Tech vs Duke (172),2434531,14566,R1,04-22-2018,10 Peyton St. George,R-Hand,12 Hannah Jones,L-Hand,,MM3,,Foul,0--2,0--1,,,,2 Out,7. Inning,Duke,Virginia Tech,,213;293,Virginia Tech vs Duke
Virginia Tech vs Duke (173),2449097,8503,R1,04-22-2018,10 Peyton St. George,R-Hand,12 Hannah Jones,L-Hand,,UPM3,,Strike Swinging,Strikeout,0--2,,,,2 Out,7. Inning,Duke,Virginia Tech,,244;74,Virginia Tech vs Duke
