Name,Position,Duration,1. Baserunning Situation,1. Date,1. Pitchers Name,1. Pitchers Side,2. Hitters Name,2. Hitters Side,3. Pitch Type,4. Pitch Location,5. Catcher Throw Down,5. Game Pitch Result,6. Pitch Count,6. Previous Pitch Count,8. Hit Location,8. Hit Results,8. RBI,8. Well Hit,9. Outs,Period,Team 1. Pitchers Name,Team 2. Hitters Name,XY Hit Location,XY Pitch Location,Z-Game Details
UVA vs Virginia Tech (192),2654288,18185,R1,04-14-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,MM2,,Foul,0--1,0--0,,,,,2 Out,5. Inning,UVA,Virginia Tech,,269;213,UVA vs Virginia Tech
UVA vs Virginia Tech (193),2672472,17417,R1,04-14-2018,19 Erika Osherow,R-Hand,2 Caroline Schoenewald,R-Hand,,MM3,,Ball in Play,,0--1,SS3,ROE,,,2 Out,5. Inning,UVA,Virginia Tech,220;227,217;274,UVA vs Virginia Tech
UVA vs Virginia Tech (194),2689890,22489,R23,04-14-2018,19 Erika Osherow,R-Hand,10 Olivia Lattin,R-Hand,,MM3,,Ball in Play,,0--0,DCF1,Fly Out,,,2 Out,5. Inning,UVA,Virginia Tech,245;87,249;269,UVA vs Virginia Tech
UVA vs Virginia Tech (195),2712379,14515,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Rise Ball,MM3,,Foul,0--1,0--0,,,,,0 Out,5. Inning,Virginia Tech,UVA,,244;311,UVA vs Virginia Tech
UVA vs Virginia Tech (196),2726894,7774,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Curve Ball,DOWNM2,,Ball,1--1,0--1,,,,,0 Out,5. Inning,Virginia Tech,UVA,,172;447,UVA vs Virginia Tech
UVA vs Virginia Tech (197),2734668,15415,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Curve Ball,RIGHTM2,,Ball,2--1,1--1,,,,,0 Out,5. Inning,Virginia Tech,UVA,,450;293,UVA vs Virginia Tech
UVA vs Virginia Tech (198),2750083,6607,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Changeup,DOWNM1,,Ball,3--1,2--1,,,,,0 Out,5. Inning,Virginia Tech,UVA,,55;455,UVA vs Virginia Tech
UVA vs Virginia Tech (199),2756690,11645,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Curve Ball,LM2,,Ball in Play,,3--1,SLCF,Single,,,0 Out,5. Inning,Virginia Tech,UVA,147;194,266;320,UVA vs Virginia Tech
UVA vs Virginia Tech (200),2768335,16016,R1,04-14-2018,7 Jordan Dail,L-Hand,2 Savana Avilla,L-Hand,Curve Ball,LR1,,Ball in Play,,0--0,PF,Sacrifice Bunt,,,0 Out,5. Inning,Virginia Tech,UVA,248;297,302;325,UVA vs Virginia Tech
UVA vs Virginia Tech (201),2784351,41642,R1,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Curve Ball,MM1,,Ball in Play,,0--0,SRF,Single,1 RBI,,1 Out,5. Inning,Virginia Tech,UVA,354;219,215;255,UVA vs Virginia Tech
UVA vs Virginia Tech (202),2825993,8842,R3,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Rise Ball,DOWNM2,,Ball,1--0,0--0,,,,,1 Out,5. Inning,Virginia Tech,UVA,,133;434,UVA vs Virginia Tech
UVA vs Virginia Tech (203),2834835,14314,R3,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,LEFTM3,,Ball,2--0,1--0,,,,,1 Out,5. Inning,Virginia Tech,UVA,,47;388,UVA vs Virginia Tech
UVA vs Virginia Tech (204),2849149,15048,R3,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,ML4,,Foul,2--1,2--0,,,,,1 Out,5. Inning,Virginia Tech,UVA,,190;267,UVA vs Virginia Tech
UVA vs Virginia Tech (205),2864198,12913,R3,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Changeup,LL2,,WP-PB,3--1,2--1,,,,,1 Out,5. Inning,Virginia Tech,UVA,,195;316,UVA vs Virginia Tech
UVA vs Virginia Tech (206),2877110,9910,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,LL3,,Strike Called,3--2,3--1,,,,,1 Out,5. Inning,Virginia Tech,UVA,,124;367,UVA vs Virginia Tech
UVA vs Virginia Tech (207),2887020,12346,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,LL2,,Foul,3--2,3--2,,,,,1 Out,5. Inning,Virginia Tech,UVA,,158;335,UVA vs Virginia Tech
UVA vs Virginia Tech (208),2899366,19620,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,17 Hayley Busby,R-Hand,Curve Ball,ML4,,Ball in Play,,3--2,SRCF,Fly Out,,,1 Out,5. Inning,Virginia Tech,UVA,349;161,203;284,UVA vs Virginia Tech
UVA vs Virginia Tech (209),2918986,11945,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,63 Danni Ingraham,R-Hand,Curve Ball,DOWNM2,,Ball,1--0,0--0,,,,,2 Out,5. Inning,Virginia Tech,UVA,,98;442,UVA vs Virginia Tech
UVA vs Virginia Tech (210),2930931,21088,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,63 Danni Ingraham,R-Hand,Rise Ball,ML1,,Ball in Play,,1--0,SS3,ROE,,,2 Out,5. Inning,Virginia Tech,UVA,226;203,151;236,UVA vs Virginia Tech
UVA vs Virginia Tech (211),2952019,17751,R1,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Curve Ball,DOWNM4,,Ball,1--0,0--0,,,,,2 Out,5. Inning,Virginia Tech,UVA,,338;459,UVA vs Virginia Tech
UVA vs Virginia Tech (212),2969770,18118,R1,04-14-2018,7 Jordan Dail,L-Hand,24 Lacy Smith,R-Hand,Curve Ball,MM1,,Ball in Play,,1--0,SCF2,Fly Out,,,2 Out,5. Inning,Virginia Tech,UVA,284;141,207;259,UVA vs Virginia Tech
UVA vs Virginia Tech (213),2987888,17551,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,14 Emma Strouth,R-Hand,,UPM2,,Ball,1--0,0--0,,,,,0 Out,6. Inning,UVA,Virginia Tech,,166;57,UVA vs Virginia Tech
UVA vs Virginia Tech (214),3005439,18151,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,14 Emma Strouth,R-Hand,,DOWNM4,,Ball,2--0,1--0,,,,,0 Out,6. Inning,UVA,Virginia Tech,,397;439,UVA vs Virginia Tech
UVA vs Virginia Tech (215),3023590,22556,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,14 Emma Strouth,R-Hand,,MM3,,Ball in Play,,2--0,SCF1,Fly Out,,,0 Out,6. Inning,UVA,Virginia Tech,234;155,220;300,UVA vs Virginia Tech
UVA vs Virginia Tech (216),3046146,7307,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,25 Carrie Eberle,R-Hand,,DOWNM4,,Ball,1--0,0--0,,,,,1 Out,6. Inning,UVA,Virginia Tech,,402;440,UVA vs Virginia Tech
UVA vs Virginia Tech (217),3053453,10944,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,25 Carrie Eberle,R-Hand,,UPM4,,Ball,2--0,1--0,,,,,1 Out,6. Inning,UVA,Virginia Tech,,303;72,UVA vs Virginia Tech
UVA vs Virginia Tech (218),3064398,14081,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,25 Carrie Eberle,R-Hand,,ML4,,Foul,2--1,2--0,,,,,1 Out,6. Inning,UVA,Virginia Tech,,198;308,UVA vs Virginia Tech
UVA vs Virginia Tech (219),3078478,23490,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,25 Carrie Eberle,R-Hand,,MM1,,Ball in Play,,2--1,2B3,Ground Out,,,1 Out,6. Inning,UVA,Virginia Tech,279;210,225;264,UVA vs Virginia Tech
UVA vs Virginia Tech (220),3101969,16850,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,20 Sierra Walton,R-Hand,,LEFTM3,,Ball,1--0,0--0,,,,,2 Out,6. Inning,UVA,Virginia Tech,,76;301,UVA vs Virginia Tech
UVA vs Virginia Tech (221),3118819,14248,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,20 Sierra Walton,R-Hand,,UPM5,,Ball,2--0,1--0,,,,,2 Out,6. Inning,UVA,Virginia Tech,,431;84,UVA vs Virginia Tech
UVA vs Virginia Tech (222),3133066,26827,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,20 Sierra Walton,R-Hand,,ML2,,Ball in Play,,2--0,DCF2,Double,,,2 Out,6. Inning,UVA,Virginia Tech,304;52,201;247,UVA vs Virginia Tech
UVA vs Virginia Tech (223),3159893,24124,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,DOWNM4,,Ball,1--0,0--0,,,,,2 Out,6. Inning,UVA,Virginia Tech,,307;467,UVA vs Virginia Tech
UVA vs Virginia Tech (224),3184017,24658,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,,,,,,,,,,2 Out,6. Inning,UVA,Virginia Tech,,,UVA vs Virginia Tech
UVA vs Virginia Tech (225),3208675,11778,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,UPM2,,Ball,2--0,1--0,,,,,2 Out,6. Inning,UVA,Virginia Tech,,108;60,UVA vs Virginia Tech
UVA vs Virginia Tech (226),3220454,17584,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,ML4,,Foul,2--1,2--0,,,,,2 Out,6. Inning,UVA,Virginia Tech,,191;293,UVA vs Virginia Tech
UVA vs Virginia Tech (227),3238038,8642,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,DOWNM4,,Ball,3--1,2--1,,,,,2 Out,6. Inning,UVA,Virginia Tech,,335;442,UVA vs Virginia Tech
UVA vs Virginia Tech (228),3246680,24992,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,MM2,,Foul,3--2,3--1,,,,,2 Out,6. Inning,UVA,Virginia Tech,,296;228,UVA vs Virginia Tech
UVA vs Virginia Tech (229),3271672,14882,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,UPM2,,Foul,3--2,3--2,,,,,2 Out,6. Inning,UVA,Virginia Tech,,142;4,UVA vs Virginia Tech
UVA vs Virginia Tech (230),3286553,14982,R2,04-14-2018,19 Erika Osherow,R-Hand,13 Caitlyn Nolan,R-Hand,,MM3,,Ball in Play,,3--2,SCF1,Single,1 RBI,,2 Out,6. Inning,UVA,Virginia Tech,194;159,222;279,UVA vs Virginia Tech
UVA vs Virginia Tech (231),3301535,19319,R1,04-14-2018,19 Erika Osherow,R-Hand,11 Cana Davis,R-Hand,,MM1,,Strike Swinging,0--1,0--0,,,,,2 Out,6. Inning,UVA,Virginia Tech,,206;236,UVA vs Virginia Tech
UVA vs Virginia Tech (232),3320854,13814,R1,04-14-2018,19 Erika Osherow,R-Hand,11 Cana Davis,R-Hand,,DOWNM4,,Ball,1--1,0--1,,,,,2 Out,6. Inning,UVA,Virginia Tech,,310;451,UVA vs Virginia Tech
UVA vs Virginia Tech (233),3334668,17384,R1,04-14-2018,19 Erika Osherow,R-Hand,11 Cana Davis,R-Hand,,MM1,,Ball in Play,,1--1,2B3,Ground Out,,,2 Out,6. Inning,UVA,Virginia Tech,302;222,240;248,UVA vs Virginia Tech
UVA vs Virginia Tech (234),3352052,11512,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Curve Ball,MM4,,Foul,0--1,0--0,,,,,0 Out,6. Inning,Virginia Tech,UVA,,284;293,UVA vs Virginia Tech
UVA vs Virginia Tech (235),3363564,10244,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Curve Ball,UPM2,,Ball,1--1,0--1,,,,,0 Out,6. Inning,Virginia Tech,UVA,,202;70,UVA vs Virginia Tech
UVA vs Virginia Tech (236),3373807,11011,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Rise Ball,MM1,,Foul,1--2,1--1,,,,,0 Out,6. Inning,Virginia Tech,UVA,,226;258,UVA vs Virginia Tech
UVA vs Virginia Tech (237),3384818,9643,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Curve Ball,UPM4,,Ball,2--2,1--2,,,,,0 Out,6. Inning,Virginia Tech,UVA,,350;81,UVA vs Virginia Tech
UVA vs Virginia Tech (238),3394461,15349,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,88 Olivia Gott,R-Hand,Changeup,MM3,,Ball in Play,,2--2,1B2,Fly Out,,,0 Out,6. Inning,Virginia Tech,UVA,288;292,236;285,UVA vs Virginia Tech
UVA vs Virginia Tech (239),3409810,10878,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,19 Erika Osherow,R-Hand,Curve Ball,DOWNM1,,Ball,1--0,0--0,,,,,1 Out,6. Inning,Virginia Tech,UVA,,82;456,UVA vs Virginia Tech
UVA vs Virginia Tech (240),3420687,12179,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,19 Erika Osherow,R-Hand,Curve Ball,DOWNM1,,Ball,2--0,1--0,,,,,1 Out,6. Inning,Virginia Tech,UVA,,71;452,UVA vs Virginia Tech
UVA vs Virginia Tech (241),3432866,10344,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,19 Erika Osherow,R-Hand,Curve Ball,UM4,,Strike Called,2--1,2--0,,,,,1 Out,6. Inning,Virginia Tech,UVA,,296;186,UVA vs Virginia Tech
UVA vs Virginia Tech (242),3443210,13180,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,19 Erika Osherow,R-Hand,Curve Ball,LL1,,Strike Called,2--2,2--1,,,,,1 Out,6. Inning,Virginia Tech,UVA,,142;358,UVA vs Virginia Tech
UVA vs Virginia Tech (243),3456390,15883,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,19 Erika Osherow,R-Hand,Changeup,ML2,,Ball in Play,,2--2,SS3,Ground Out,,,1 Out,6. Inning,Virginia Tech,UVA,200;243,160;235,UVA vs Virginia Tech
UVA vs Virginia Tech (244),3472272,16717,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,15 Ashlee Davis,R-Hand,Curve Ball,MM3,,Ball in Play,,0--0,SRCF,Fly Out,,,2 Out,6. Inning,Virginia Tech,UVA,354;137,229;274,UVA vs Virginia Tech
UVA vs Virginia Tech (245),3488989,13780,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,6 Taylor Clark,R-Hand,,DOWNM4,,Ball,1--0,0--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,301;450,UVA vs Virginia Tech
UVA vs Virginia Tech (246),3502769,6039,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,6 Taylor Clark,R-Hand,,ML1,,Strike Called,1--1,1--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,135;236,UVA vs Virginia Tech
UVA vs Virginia Tech (247),3508809,14882,Bases Empty,04-14-2018,19 Erika Osherow,R-Hand,6 Taylor Clark,R-Hand,,MM2,,Ball in Play,,1--1,SCF2,Single,,,0 Out,7. Inning,UVA,Virginia Tech,252;141,251;251,UVA vs Virginia Tech
UVA vs Virginia Tech (248),3523690,20220,R1,04-14-2018,19 Erika Osherow,R-Hand,27 Jessie Mehr,R-Hand,,UM3,,Ball,1--0,0--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,236;163,UVA vs Virginia Tech
UVA vs Virginia Tech (249),3543911,13514,R1,04-14-2018,19 Erika Osherow,R-Hand,27 Jessie Mehr,R-Hand,,UM3,,Ball,2--0,1--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,243;165,UVA vs Virginia Tech
UVA vs Virginia Tech (250),3557424,15616,R1,04-14-2018,19 Erika Osherow,R-Hand,27 Jessie Mehr,R-Hand,,UM3,,Ball,3--0,2--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,235;163,UVA vs Virginia Tech
UVA vs Virginia Tech (251),3573040,14448,R1,04-14-2018,19 Erika Osherow,R-Hand,27 Jessie Mehr,R-Hand,,MM3,,Strike Called,3--1,3--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,239;270,UVA vs Virginia Tech
UVA vs Virginia Tech (252),3587487,17417,R1,04-14-2018,19 Erika Osherow,R-Hand,27 Jessie Mehr,R-Hand,,UR1,,Ball,Walk,3--1,,,,,0 Out,7. Inning,UVA,Virginia Tech,,333;156,UVA vs Virginia Tech
UVA vs Virginia Tech (253),3604905,29563,R12,04-14-2018,24 Lacy Smith,R-Hand,2 Caroline Schoenewald,R-Hand,,MR1,,Ball in Play,,0--0,PF,ROE,,,0 Out,7. Inning,UVA,Virginia Tech,222;300,353;223,UVA vs Virginia Tech
UVA vs Virginia Tech (254),3634468,15048,R123,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,MM3,,Strike Swinging,0--1,0--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,222;295,UVA vs Virginia Tech
UVA vs Virginia Tech (255),3649516,17184,R123,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,UM2,,Ball,1--1,0--1,,,,,0 Out,7. Inning,UVA,Virginia Tech,,277;149,UVA vs Virginia Tech
UVA vs Virginia Tech (256),3666700,9576,R123,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,MM2,,Strike Called,1--2,1--1,,,,,0 Out,7. Inning,UVA,Virginia Tech,,252;246,UVA vs Virginia Tech
UVA vs Virginia Tech (257),3676276,29663,R123,04-14-2018,24 Lacy Smith,R-Hand,10 Olivia Lattin,R-Hand,,MR1,,Ball in Play,,1--2,Home Run LCF,Home Run,4 RBI,Well Hit Ball,0 Out,7. Inning,UVA,Virginia Tech,129;27,324;220,UVA vs Virginia Tech
UVA vs ,3705939,4271,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,,,,LR1,,Ball,1--0,0--0,,,,,0 Out,7. Inning,UVA,,,332;321,UVA vs
UVA vs Virginia Tech (258),3710210,11545,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,15 Sammi Miller,R-Hand,,MR1,,Strike Called,1--1,1--0,,,,,0 Out,7. Inning,UVA,Virginia Tech,,356;233,UVA vs Virginia Tech
UVA vs Virginia Tech (259),3721755,4738,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,15 Sammi Miller,R-Hand,,DOWNM4,,Ball,2--1,1--1,,,,,0 Out,7. Inning,UVA,Virginia Tech,,339;466,UVA vs Virginia Tech
UVA vs Virginia Tech (260),3726493,8008,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,15 Sammi Miller,R-Hand,,,,,,,,,,,0 Out,7. Inning,UVA,Virginia Tech,,,UVA vs Virginia Tech
UVA vs Virginia Tech (261),3734501,13580,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,15 Sammi Miller,R-Hand,,DOWNM3,,Strike Swinging,1--2,1--1,,,,,0 Out,7. Inning,UVA,Virginia Tech,,209;469,UVA vs Virginia Tech
UVA vs Virginia Tech (262),3748081,39406,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,15 Sammi Miller,R-Hand,,MM4,,Ball in Play,,1--2,SS3,Ground Out,,,0 Out,7. Inning,UVA,Virginia Tech,210;223,266;295,UVA vs Virginia Tech
UVA vs Virginia Tech (263),3787487,11278,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,RIGHTM1,,Ball,1--0,0--0,,,,,1 Out,7. Inning,UVA,Virginia Tech,,478;141,UVA vs Virginia Tech
UVA vs Virginia Tech (264),3798765,17251,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,ML1,,Strike Called,1--1,1--0,,,,,1 Out,7. Inning,UVA,Virginia Tech,,100;210,UVA vs Virginia Tech
UVA vs Virginia Tech (265),3816016,13213,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,DOWNM3,,Ball,2--1,1--1,,,,,1 Out,7. Inning,UVA,Virginia Tech,,266;449,UVA vs Virginia Tech
UVA vs Virginia Tech (266),3829229,11912,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,UM4,,Foul,2--2,2--1,,,,,1 Out,7. Inning,UVA,Virginia Tech,,274;191,UVA vs Virginia Tech
UVA vs Virginia Tech (267),3841141,20087,Bases Empty,04-14-2018,24 Lacy Smith,R-Hand,25 Carrie Eberle,R-Hand,,LM1,,Ball in Play,,2--2,DLF,Double,,,1 Out,7. Inning,UVA,Virginia Tech,77;113,220;325,UVA vs Virginia Tech
UVA vs Virginia Tech (268),3861228,16950,Bases Empty,04-14-2018,27 Lexi Mettler,R-Hand,20 Sierra Walton,R-Hand,,LR1,,Strike Called,0--1,0--0,,,,,1 Out,7. Inning,UVA,Virginia Tech,,359;322,UVA vs Virginia Tech
UVA vs Virginia Tech (269),3878178,13547,Bases Empty,04-14-2018,27 Lexi Mettler,R-Hand,20 Sierra Walton,R-Hand,,DOWNM1,,Ball,1--1,0--1,,,,,1 Out,7. Inning,UVA,Virginia Tech,,45;451,UVA vs Virginia Tech
UVA vs Virginia Tech (270),3891725,12846,Bases Empty,04-14-2018,27 Lexi Mettler,R-Hand,20 Sierra Walton,R-Hand,,MM3,,Strike Called,1--2,1--1,,,,,1 Out,7. Inning,UVA,Virginia Tech,,206;295,UVA vs Virginia Tech
UVA vs Virginia Tech (271),3904571,14515,Bases Empty,04-14-2018,27 Lexi Mettler,R-Hand,20 Sierra Walton,R-Hand,,LEFTM3,,Ball,2--2,1--2,,,,,1 Out,7. Inning,UVA,Virginia Tech,,66;399,UVA vs Virginia Tech
UVA vs Virginia Tech (272),3919086,11411,Bases Empty,04-14-2018,27 Lexi Mettler,R-Hand,20 Sierra Walton,R-Hand,,DOWNM3,,Ball,3--2,2--2,,,,,1 Out,7. Inning,UVA,Virginia Tech,,228;447,UVA vs Virginia Tech
UVA vs Virginia Tech (273),3930497,21288,Bases Empty,04-14-2018,27 Lexi Mettler,R-Hand,20 Sierra Walton,R-Hand,,MM3,,Ball in Play,,3--2,SS3,Ground Out,,,1 Out,7. Inning,UVA,Virginia Tech,203;232,225;298,UVA vs Virginia Tech
UVA vs Virginia Tech (274),3951785,7975,R2,04-14-2018,27 Lexi Mettler,R-Hand,13 Caitlyn Nolan,R-Hand,,LEFTM1,,Ball,1--0,0--0,,,,,2 Out,7. Inning,UVA,Virginia Tech,,55;146,UVA vs Virginia Tech
UVA vs Virginia Tech (275),3959760,11712,R2,04-14-2018,27 Lexi Mettler,R-Hand,13 Caitlyn Nolan,R-Hand,,MR3,,Foul,1--1,1--0,,,,,2 Out,7. Inning,UVA,Virginia Tech,,353;287,UVA vs Virginia Tech
UVA vs Virginia Tech (276),3971471,21421,R2,04-14-2018,27 Lexi Mettler,R-Hand,13 Caitlyn Nolan,R-Hand,,,,,,,,,,,2 Out,7. Inning,UVA,Virginia Tech,,,UVA vs Virginia Tech
UVA vs Virginia Tech (277),3992893,11578,R2,04-14-2018,27 Lexi Mettler,R-Hand,13 Caitlyn Nolan,R-Hand,,MM1,,Ball in Play,,1--1,SCF2,Fly Out,,,2 Out,7. Inning,UVA,Virginia Tech,281;145,213;236,UVA vs Virginia Tech
UVA vs Virginia Tech (278),4004471,14648,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Curve Ball,MR3,,Strike Swinging,0--1,0--0,,,,,0 Out,7. Inning,Virginia Tech,UVA,,318;300,UVA vs Virginia Tech
UVA vs Virginia Tech (279),4019119,10043,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Rise Ball,UPM3,,Ball,1--1,0--1,,,,,0 Out,7. Inning,Virginia Tech,UVA,,278;84,UVA vs Virginia Tech
UVA vs Virginia Tech (280),4029162,12946,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Curve Ball,MM3,,Foul,1--2,1--1,,,,,0 Out,7. Inning,Virginia Tech,UVA,,233;306,UVA vs Virginia Tech
UVA vs Virginia Tech (281),4042109,8008,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Changeup,DOWNM2,,Ball,2--2,1--2,,,,,0 Out,7. Inning,Virginia Tech,UVA,,104;464,UVA vs Virginia Tech
UVA vs Virginia Tech (282),4050117,15415,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,10 Kate Covington,R-Hand,Curve Ball,MM3,,Ball in Play,,2--2,FB1B,Fly Out,,,0 Out,7. Inning,Virginia Tech,UVA,370;265,233;304,UVA vs Virginia Tech
UVA vs Virginia Tech (283),4065532,16617,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,2 Savana Avilla,L-Hand,Curve Ball,MM1,,Ball in Play,,0--0,2B3,Ground Out,,,1 Out,7. Inning,Virginia Tech,UVA,298;214,235;213,UVA vs Virginia Tech
UVA vs Virginia Tech (284),4082149,13213,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Curve Ball,LL3,,Strike Called,0--1,0--0,,,,,2 Out,7. Inning,Virginia Tech,UVA,,140;395,UVA vs Virginia Tech
UVA vs Virginia Tech (285),4095362,10711,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Changeup,DOWNM3,,Ball,1--1,0--1,,,,,2 Out,7. Inning,Virginia Tech,UVA,,198;471,UVA vs Virginia Tech
UVA vs Virginia Tech (286),4106073,12808,Bases Empty,04-14-2018,7 Jordan Dail,L-Hand,5 Allison Davis`,R-Hand,Curve Ball,MM3,,Ball in Play,,1--1,SRF,Fly Out,,,2 Out,7. Inning,Virginia Tech,UVA,385;180,248;277,UVA vs Virginia Tech
